date,symbol,stock_name,action,price,money_amount,number_of_stocks
31-Oct-2023 23:29:53,AVGO,Broadcom,buy,841.719970703125,15150.95947265625,18.0
31-Oct-2023 23:29:53,TSLA,Tesla,buy,201.6300048828125,37704.81091308594,187.0
31-Oct-2023 23:29:53,JNJ,Johnson & Johnson,buy,148.1699981689453,4148.759948730469,28.0
31-Oct-2023 23:29:53,NFLX,Netflix,buy,411.0985107421875,26310.3046875,64.0
31-Oct-2023 23:29:53,AMZN,Amazon,buy,133.02499389648438,15696.949279785156,118.0
31-Oct-2023 23:29:53,AVGO,Broadcom,buy,841.719970703125,841.719970703125,1.0
31-Oct-2023 23:29:53,AMZN,Amazon,buy,133.02499389648438,133.02499389648438,1.0
01-Nov-2023 20:30:26,AVGO,Broadcom,sell,843.0499877929688,4215.249938964844,5.0
01-Nov-2023 20:30:26,TSLA,Tesla,sell,201.4100036621093,8056.400146484375,40.0
01-Nov-2023 20:30:26,JNJ,Johnson & Johnson,sell,148.72999572753906,4164.439880371094,28.0
01-Nov-2023 20:30:26,NFLX,Netflix,sell,416.2099914550781,1664.8399658203125,4.0
01-Nov-2023 20:30:26,AMZN,Amazon,buy,135.51499938964844,13687.014938354492,101.0
01-Nov-2023 20:30:26,AVGO,Broadcom,buy,843.0499877929688,4215.249938964844,5.0
01-Nov-2023 20:30:26,TSLA,Tesla,buy,201.4100036621093,201.4100036621093,1.0
03-Nov-2023 05:31:47,AVGO,Broadcom,sell,871.2999877929688,16554.699768066406,19.0
03-Nov-2023 05:31:47,TSLA,Tesla,buy,218.509994506836,12236.559692382812,56.0
03-Nov-2023 05:31:47,AMZN,Amazon,sell,138.07000732421875,30375.401611328125,220.0
03-Nov-2023 05:31:47,NKE,Nike,buy,105.08000183105467,17758.520309448242,169.0
03-Nov-2023 05:31:47,NFLX,Netflix,buy,424.7099914550781,6795.35986328125,16.0
03-Nov-2023 05:31:47,AAPL,Apple,buy,177.57000732421875,5504.670227050781,31.0
03-Nov-2023 05:31:47,JNJ,Johnson & Johnson,buy,150.24000549316406,2704.320098876953,18.0
03-Nov-2023 05:31:47,AVGO,Broadcom,buy,871.2999877929688,1742.5999755859375,2.0
03-Nov-2023 05:31:47,AAPL,Apple,buy,177.57000732421875,177.57000732421875,1.0
06-Nov-2023 18:24:48,TSLA,Tesla,sell,219.9600067138672,219.9600067138672,1.0
06-Nov-2023 18:24:48,NKE,Nike,sell,107.05999755859376,18093.139587402344,169.0
06-Nov-2023 18:24:48,AAPL,Apple,sell,176.64999389648438,5652.7998046875,32.0
06-Nov-2023 18:24:48,JNJ,Johnson & Johnson,sell,151.33999633789062,2724.1199340820312,18.0
06-Nov-2023 18:24:48,AVGO,Broadcom,buy,882.6799926757812,5296.079956054688,6.0
06-Nov-2023 18:24:48,NFLX,Netflix,buy,432.3599853515625,3026.519897460937,7.0
06-Nov-2023 18:24:48,AMZN,Amazon,buy,138.60000610351562,9424.800415039062,68.0
06-Nov-2023 18:24:48,META,Meta Platforms,buy,314.6000061035156,6921.200134277344,22.0
06-Nov-2023 18:24:48,AVGO,Broadcom,buy,882.6799926757812,1765.3599853515625,2.0
